iid,gender,age,race,imprace,imprelig,goal,date,go_out,exphappy,expnum
21,F,21,4,8,10,6,7,4,5,0
22,F,27,1,1,2,1,6,2,4,2
23,F,21,4,9,6,1,1,1,5,3
24,F,27,2,2,3,2,6,4,5,3
25,F,25,2,10,2,1,5,2,5,4
26,F,23,2,2,4,1,5,2,7,10
27,F,22,3,1,5,1,6,2,5,4
28,F,26,2,NA,NA,NA,NA,NA,NA,NA
29,F,22,2,4,5,1,6,1,7,4
30,F,23,2,2,4,1,7,2,3,2
31,F,24,2,4,8,1,4,3,5,4
32,F,27,4,1,1,1,4,2,3,0
33,F,30,2,4,8,6,6,1,4,0
34,F,21,4,2,2,1,6,2,6,5
35,F,25,2,9,7,1,6,3,7,8
36,F,26,2,7,8,2,5,2,6,8
37,F,27,2,5,8,2,6,2,7,3
38,F,23,1,8,1,1,4,3,2,12
39,F,24,3,6,4,5,6,4,2,5
40,M,25,4,9,6,2,7,7,3,2
41,M,30,4,1,1,2,6,5,7,3
42,M,23,4,1,6,2,7,4,6,3
43,M,24,2,1,1,6,6,3,3,1
44,M,24,2,3,3,1,3,1,7,5
45,M,28,2,6,6,2,6,3,7,7
46,M,26,2,2,3,2,6,2,7,8
47,M,30,2,2,2,1,6,1,8,6
48,M,22,2,9,2,1,5,2,6,5
49,M,25,4,1,3,1,3,2,6,4
50,M,27,1,4,4,6,6,2,5,7
51,M,23,2,5,10,1,5,3,3,2
52,M,21,2,10,9,1,4,1,5,1
53,M,28,2,2,2,2,6,2,6,9
54,M,28,2,1,1,5,5,1,7,5
55,M,23,1,1,1,6,4,2,7,5
76,F,34,2,5,7,2,7,2,6,4
77,F,22,2,2,2,1,4,2,6,4
78,F,23,3,1,4,2,7,3,7,0
79,F,26,4,8,8,2,7,1,5,3
80,F,27,4,3,1,1,5,4,7,10
81,F,28,2,6,9,5,5,2,5,6
82,F,25,6,2,7,1,3,2,7,2
83,F,35,3,1,5,2,6,1,6,3
84,F,32,3,1,1,2,4,1,7,5
85,F,30,2,3,5,2,6,4,4,4
86,F,22,2,1,1,2,7,1,6,10
87,F,23,2,8,10,1,3,2,4,10
88,F,23,2,8,7,1,4,4,5,10
89,F,27,2,3,2,1,7,3,5,6
90,F,23,4,4,1,2,7,7,5,0
91,F,25,6,6,8,1,3,2,5,3
92,F,29,2,1,2,5,6,1,5,6
93,F,29,2,2,2,1,5,1,6,2
94,M,28,4,6,8,2,6,3,5,2
95,M,26,2,7,5,1,5,2,6,6
96,M,26,3,3,6,1,7,1,7,3
97,M,29,2,4,1,2,5,2,5,5
98,M,39,2,1,1,4,4,2,5,5
99,M,28,2,1,1,3,3,2,8,18
100,M,30,6,8,9,1,3,2,5,4
101,M,22,4,3,2,3,4,3,7,14
102,M,32,2,2,6,1,4,4,6,18
103,M,26,2,8,9,2,4,1,6,5
104,M,27,2,6,8,2,5,3,8,3
105,M,25,1,1,1,2,7,1,5,1
106,M,22,3,1,3,5,7,3,5,2
107,M,21,2,1,1,1,4,1,6,3
108,M,24,2,1,1,1,6,3,5,2
109,M,25,4,1,1,1,4,1,5,3
110,M,28,2,4,6,2,6,1,6,3
111,M,27,4,7,1,5,5,1,9,1
142,F,24,2,1,4,1,5,2,7,NA
143,F,33,2,6,2,2,7,4,6,NA
144,F,23,2,5,2,1,5,2,5,NA
145,F,24,2,9,7,2,7,1,5,NA
146,F,36,2,1,7,4,7,1,5,NA
147,F,26,4,3,3,5,5,1,5,NA
148,F,27,4,7,4,5,4,1,5,NA
149,F,28,2,3,3,1,5,2,4,NA
150,F,31,2,3,3,4,5,2,5,NA
151,F,28,2,1,2,3,3,1,3,NA
152,F,27,4,2,3,1,4,3,5,NA
153,F,28,4,1,1,2,6,3,6,NA
154,F,27,2,8,3,6,4,1,7,NA
155,F,27,2,5,1,2,5,1,3,NA
156,F,30,1,1,1,2,6,3,6,NA
157,F,28,4,5,3,1,6,1,4,NA
158,M,23,2,3,4,4,6,2,7,NA
159,M,28,2,7,2,1,6,2,6,NA
160,M,29,1,3,4,2,5,2,6,NA
161,M,22,2,6,2,2,4,2,7,NA
162,M,27,4,1,1,2,6,2,4,NA
163,M,26,2,1,1,4,3,3,2,NA
164,M,27,2,1,1,1,6,2,5,NA
165,M,30,2,4,7,3,6,3,6,NA
166,M,26,6,1,9,5,5,2,6,NA
167,M,23,2,1,1,2,6,2,3,NA
168,M,23,4,1,1,1,4,2,5,NA
169,M,28,2,2,3,2,6,2,6,NA
170,M,28,4,2,1,1,5,3,6,NA
171,M,29,2,1,1,1,4,2,8,NA
172,M,27,2,5,7,1,3,1,5,NA
173,M,22,2,5,7,1,4,1,3,NA
194,F,24,2,9,9,3,3,2,7,NA
195,F,27,2,3,9,1,2,1,8,NA
196,F,25,4,1,6,1,1,1,6,NA
197,F,24,6,2,1,1,4,3,3,NA
198,F,23,4,8,5,2,2,3,6,NA
199,F,30,2,2,1,4,5,3,4,NA
200,F,25,2,1,1,1,7,2,5,NA
201,F,25,2,8,8,1,4,2,2,NA
202,F,22,2,8,5,2,6,2,3,NA
203,F,22,2,4,10,6,6,2,3,NA
204,F,26,2,8,6,3,5,1,4,NA
205,F,23,2,5,5,1,7,1,5,NA
206,F,31,1,2,2,1,5,1,6,NA
207,F,23,2,9,5,1,3,1,6,NA
208,F,25,1,2,1,2,4,3,5,NA
209,F,28,1,7,3,3,6,2,7,NA
210,F,29,2,10,4,2,6,3,5,NA
211,F,28,2,9,1,2,4,1,5,NA
212,F,27,3,3,6,1,5,2,5,NA
213,F,25,3,9,10,2,4,2,7,NA
214,M,23,2,6,8,1,6,2,6,NA
215,M,26,4,3,1,1,4,1,7,NA
216,M,27,2,7,1,2,5,3,6,NA
217,M,26,2,8,1,5,4,2,3,NA
218,M,24,2,9,5,1,4,2,3,NA
219,M,26,2,1,1,1,3,2,7,NA
220,M,25,6,1,1,1,5,2,10,NA
221,M,27,4,6,1,2,6,3,6,NA
222,M,27,2,8,3,2,6,3,3,NA
223,M,28,2,6,6,2,4,2,7,NA
224,M,32,2,1,3,6,7,4,5,NA
225,M,28,3,4,9,1,7,2,4,NA
226,M,23,2,1,3,2,3,1,3,NA
227,M,26,2,7,7,2,6,3,5,NA
228,M,24,4,1,4,3,7,3,7,NA
229,M,28,2,7,1,1,6,3,3,NA
230,M,42,2,5,1,2,7,3,5,NA
231,M,30,3,1,1,1,6,3,5,NA
232,M,31,2,4,7,2,5,4,4,NA
233,M,29,4,1,1,1,3,2,7,NA
252,F,28,3,1,1,1,6,2,10,NA
253,F,33,4,1,1,2,6,6,7,NA
254,F,22,2,8,3,2,6,2,6,NA
255,F,26,4,3,1,1,7,3,6,NA
256,F,24,4,6,5,2,6,4,6,NA
257,F,24,2,5,6,2,5,1,3,NA
258,F,25,6,1,10,1,6,1,6,NA
259,F,25,2,2,2,2,7,1,5,NA
260,F,27,4,4,4,2,7,3,6,NA
261,F,26,4,1,4,1,7,2,3,NA
262,F,29,2,1,10,6,6,3,1,NA
263,F,26,1,9,10,1,6,2,1,NA
264,F,26,2,1,3,1,6,2,3,NA
265,F,32,2,3,3,4,5,2,3,NA
266,F,28,2,2,2,2,7,3,4,NA
267,F,26,4,2,2,1,3,3,4,NA
268,F,24,3,1,1,5,6,1,5,NA
269,F,24,2,4,5,2,6,2,6,NA
270,F,23,4,2,4,2,5,1,5,NA
271,F,23,2,10,9,2,4,1,8,NA
272,F,25,2,10,10,2,4,1,8,NA
273,M,29,2,8,4,2,5,2,5,NA
274,M,24,3,3,3,3,4,2,6,NA
275,M,21,2,1,1,2,4,3,6,NA
276,M,26,2,7,3,2,4,1,4,NA
277,M,25,2,1,1,1,7,5,5,NA
278,M,32,2,1,1,1,3,1,8,NA
279,M,25,2,7,1,3,4,2,7,NA
280,M,25,2,2,1,3,6,2,5,NA
281,M,27,2,2,5,6,5,5,2,NA
282,M,23,1,1,1,1,4,3,5,NA
283,M,27,4,1,1,1,4,2,5,NA
284,M,27,2,1,5,1,5,2,7,NA
285,M,24,6,1,1,4,6,6,10,NA
286,M,22,2,4,7,1,6,3,7,NA
287,M,22,4,1,1,1,7,3,8,NA
288,M,27,2,3,5,1,6,3,5,NA
289,M,28,4,1,2,1,4,1,7,NA
290,M,34,2,2,6,2,5,2,5,NA
291,M,27,4,5,5,1,3,2,6,NA
292,M,28,1,7,1,1,2,1,6,NA
293,M,28,3,3,7,2,5,2,6,NA
294,F,30,4,1,1,1,6,2,6,NA
295,F,30,2,5,7,2,6,1,6,NA
296,F,28,2,10,10,1,4,2,3,NA
297,F,21,2,9,8,2,2,1,7,NA
298,F,22,2,7,1,2,6,2,1,NA
299,F,24,4,1,1,2,6,2,5,NA
300,F,35,2,1,1,2,6,2,9,NA
301,F,34,2,3,8,2,4,1,2,NA
302,F,21,2,8,7,2,3,1,8,NA
303,F,33,2,2,1,4,5,1,6,NA
304,F,28,2,1,10,1,7,2,6,NA
305,F,29,4,6,9,1,4,1,4,NA
306,F,22,4,6,2,1,6,3,7,NA
307,F,27,4,1,3,5,7,2,3,NA
308,M,27,4,7,3,1,7,2,7,NA
309,M,32,2,5,9,3,3,2,7,NA
310,M,25,2,7,8,1,3,1,6,NA
311,M,29,4,1,1,2,6,1,8,NA
312,M,23,2,3,1,2,4,2,5,NA
313,M,27,2,2,3,1,4,1,6,NA
314,M,32,6,3,1,2,6,2,6,NA
315,M,27,2,1,4,3,5,3,5,NA
316,M,25,2,3,3,2,4,1,5,NA
317,M,30,2,1,1,1,4,1,7,NA
318,M,29,6,1,1,2,6,1,6,NA
319,M,26,2,2,4,6,7,2,7,NA
320,M,36,2,6,8,4,5,5,6,NA
321,M,29,2,3,3,1,5,1,6,NA
341,F,23,4,3,10,1,6,1,5,NA
342,F,33,3,2,1,1,6,3,2,NA
343,F,32,2,5,6,3,2,1,5,NA
344,F,26,3,1,3,3,4,3,5,NA
345,F,24,2,7,6,2,7,4,6,NA
346,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,F,26,1,1,1,5,6,1,5,NA
348,F,21,4,3,3,2,6,1,5,NA
349,F,33,2,1,7,1,4,2,6,NA
350,F,31,2,9,5,2,7,3,6,NA
351,F,35,4,1,3,2,5,4,8,NA
352,F,29,6,6,6,2,4,3,9,NA
353,F,25,4,7,7,1,2,1,5,NA
354,F,22,2,9,8,1,6,1,7,NA
355,F,24,2,10,2,1,4,3,7,NA
356,F,27,2,2,4,1,7,2,4,NA
357,F,27,4,10,10,1,4,2,1,NA
358,F,26,4,1,1,1,5,3,5,NA
359,F,26,2,1,5,2,6,3,2,NA
360,F,24,6,8,4,2,6,2,7,NA
361,M,34,2,5,5,2,6,6,5,NA
362,M,30,2,1,1,1,4,3,9,NA
363,M,23,4,1,1,3,6,2,7,NA
364,M,27,3,6,2,3,4,2,6,NA
365,M,30,2,1,1,1,2,1,8,NA
366,M,27,2,4,6,1,4,1,5,NA
367,M,27,2,6,3,3,4,1,8,NA
368,M,24,6,1,1,1,4,2,4,NA
369,M,25,2,1,8,2,5,3,7,NA
370,M,28,2,7,4,3,4,1,7,NA
371,M,27,2,3,1,5,7,1,6,NA
372,M,27,2,9,7,2,5,2,5,NA
373,M,29,3,3,1,2,5,2,9,NA
374,M,30,4,6,6,2,4,2,7,NA
375,M,27,2,3,2,1,3,1,5,NA
376,M,25,4,10,7,2,5,2,5,NA
377,M,26,4,3,2,1,5,1,6,NA
378,M,29,2,3,2,6,5,2,6,NA
379,F,38,2,4,6,2,7,2,5,NA
380,F,33,1,4,8,2,7,4,6,NA
381,F,24,2,6,3,5,4,1,2,NA
382,F,28,2,8,1,2,7,3,6,NA
383,F,27,2,10,5,3,6,2,4,NA
384,F,23,2,9,6,2,5,3,8,NA
385,F,25,2,5,8,2,5,3,7,NA
386,F,26,2,4,2,2,7,2,4,NA
387,F,25,2,5,2,2,7,2,6,NA
388,F,24,2,1,6,2,4,2,4,NA
389,F,21,2,1,1,2,3,1,7,NA
390,F,30,4,1,10,6,4,3,6,NA
391,F,28,2,1,5,1,4,1,4,NA
392,F,26,2,6,1,5,4,3,3,NA
393,F,22,2,4,8,1,7,1,6,NA
394,F,24,2,1,6,2,4,2,6,NA
395,F,33,2,1,2,3,4,2,4,NA
396,F,25,4,1,5,2,7,2,4,NA
397,M,24,2,3,2,2,5,2,6,NA
398,M,29,2,7,2,2,3,1,8,NA
399,M,29,2,1,1,2,4,2,7,NA
400,M,26,2,7,7,5,4,2,3,NA
401,M,31,2,1,1,2,4,1,9,NA
402,M,29,4,1,1,3,4,2,6,NA
403,M,22,2,6,6,5,5,3,6,NA
404,M,23,2,1,4,2,5,2,7,NA
405,M,30,1,1,1,4,5,5,6,NA
406,M,27,4,1,1,1,6,2,6,NA
407,M,24,2,1,1,3,4,2,5,NA
408,M,24,3,1,1,2,7,1,6,NA
409,M,23,2,5,5,2,6,3,7,NA
410,M,27,2,8,8,1,5,1,5,NA
411,M,34,2,8,2,3,4,1,3,NA
412,M,27,2,1,1,1,5,2,4,NA
413,M,26,2,5,3,1,NA,2,8,NA
414,M,29,2,2,10,6,1,1,5,NA
415,M,31,2,3,1,1,4,2,4,NA
430,F,22,4,3,10,1,6,2,5,NA
431,F,27,4,5,8,2,7,3,7,NA
432,F,28,2,1,1,4,6,3,4,NA
433,F,30,6,3,3,2,6,3,5,NA
434,F,27,2,2,2,1,4,2,3,NA
435,F,22,1,1,1,1,7,2,5,NA
436,F,23,2,9,1,1,6,1,5,NA
437,F,23,2,2,6,1,4,1,5,NA
438,F,23,2,1,5,1,4,1,4,NA
439,F,29,2,1,5,2,3,2,7,NA
440,M,21,2,8,2,1,7,2,7,NA
441,M,24,2,4,2,2,7,1,7,NA
442,M,25,2,1,1,4,6,1,6,NA
443,M,27,3,1,3,2,6,2,7,NA
444,M,26,2,5,1,2,4,2,3,NA
445,M,30,2,1,1,2,5,2,5,NA
446,M,28,3,2,2,1,4,3,7,NA
447,M,26,4,1,1,1,7,2,3,NA
448,M,22,2,1,1,1,2,1,3,NA
449,M,23,6,7,1,1,3,1,5,NA
450,M,25,2,3,7,2,6,2,3,NA
451,M,30,4,3,1,2,3,3,3,NA
452,M,29,4,7,1,1,5,3,7,NA
453,M,27,4,4,3,2,6,5,6,NA
466,F,24,2,1,1,6,7,1,5,NA
467,F,24,2,7,4,6,2,1,7,NA
468,F,25,6,5,2,1,6,3,4,NA
469,F,25,4,1,1,2,3,1,4,NA
470,F,29,4,1,1,1,4,2,4,NA
471,F,30,4,8,8,2,5,3,5,NA
472,F,25,3,1,3,2,4,2,4,NA
473,F,34,4,1,1,2,6,4,7,NA
474,F,30,1,1,1,1,6,5,9,NA
475,F,27,3,1,2,1,6,2,5,NA
476,F,25,2,1,3,5,5,2,5,NA
477,F,27,3,5,7,1,4,2,7,NA
478,F,26,2,4,4,1,4,1,4,NA
479,F,27,2,3,3,1,4,3,6,NA
480,F,26,2,4,6,1,4,1,4,NA
481,M,23,2,8,1,2,3,2,6,NA
482,M,30,2,2,6,2,6,1,4,NA
483,M,28,2,1,1,6,3,1,5,NA
484,M,31,4,1,1,1,6,4,6,NA
485,M,29,1,4,3,2,6,2,6,NA
486,M,32,3,1,1,3,6,2,8,NA
487,M,24,4,1,1,1,5,3,5,NA
488,M,29,4,1,1,3,2,3,5,NA
489,M,28,2,6,5,3,2,1,6,NA
490,M,29,2,6,1,2,6,3,3,NA
491,M,29,3,3,3,2,4,1,5,NA
492,M,30,6,1,1,2,4,2,7,NA
493,M,20,4,1,1,5,6,5,10,NA
494,M,30,2,2,8,4,3,3,6,NA
495,M,32,6,5,6,2,2,1,6,NA
509,F,28,4,2,2,2,4,2,6,NA
510,F,26,3,3,3,2,7,2,5,NA
511,F,23,4,2,2,2,7,3,6,NA
512,F,NA,2,1,1,1,3,2,NA,NA
513,F,23,2,1,1,2,6,4,2,NA
514,F,23,2,8,9,2,4,3,7,NA
515,F,23,2,8,5,1,6,3,6,NA
516,F,27,4,9,3,2,6,3,2,NA
517,F,30,3,1,1,5,5,3,3,NA
518,F,23,2,2,1,5,7,2,2,NA
519,F,26,2,8,9,2,4,2,6,NA
520,F,28,6,2,1,1,7,1,5,NA
521,F,26,2,3,1,1,3,1,6,NA
522,F,22,2,3,6,1,6,2,5,NA
523,F,27,4,3,2,2,4,3,9,NA
524,F,25,4,9,6,2,7,4,6,NA
525,F,24,2,2,8,2,4,1,6,NA
526,F,26,3,5,2,1,5,3,6,NA
527,F,24,6,5,5,1,4,3,1,NA
528,F,29,3,8,7,2,6,1,4,NA
529,F,22,4,4,1,2,4,1,5,NA
530,F,22,4,1,1,2,7,3,8,NA
531,M,25,4,5,1,2,7,2,7,NA
532,M,26,4,8,3,1,2,2,6,NA
533,M,26,2,1,1,2,6,2,5,NA
534,M,24,6,1,1,3,5,6,9,NA
535,M,23,2,5,6,1,5,3,6,NA
536,M,29,2,1,1,1,5,2,8,NA
537,M,22,4,7,1,1,5,1,7,NA
538,M,32,2,1,1,1,4,2,6,NA
539,M,22,2,6,6,1,4,1,7,NA
540,M,24,2,5,1,1,7,4,7,NA
541,M,23,4,2,2,3,7,3,7,NA
542,M,23,4,7,1,2,5,3,8,NA
543,M,24,4,9,6,1,7,2,8,NA
544,M,23,4,3,8,1,7,3,5,NA
545,M,24,2,7,1,1,7,2,6,NA
546,M,30,2,3,4,2,4,1,8,NA
547,M,30,2,1,1,2,3,1,6,NA
548,M,30,2,8,8,1,6,1,7,NA
549,M,28,2,2,3,1,7,1,5,NA
550,M,30,2,5,6,2,4,1,7,NA
551,M,27,1,2,1,1,6,3,3,NA
552,M,25,2,1,1,1,2,1,10,NA
